stock,model,feature_set,test_days,train_size,test_size,rmse,mae,directional_accuracy,naive_rmse,naive_mae,beat_naive
MSFT,XGBoost,Tech+Sent,90,1257,90,16.44895748034647,12.67612033420139,47.19101123595505,8.552344550145648,5.832682063070576,False
GOOGL,Linear Regression,Tech-Only,30,1324,30,5.215912321957468,4.108015278127383,48.275862068965516,4.6298520921566215,3.6562594709725214,False
GOOGL,Linear Regression,Tech-Only,60,1294,60,4.999501834540677,3.9628543721044553,52.54237288135594,4.3145837496207085,3.3973766262248413,False
GOOGL,Linear Regression,Tech-Only,90,1264,90,5.150435021518079,4.050858609497902,44.9438202247191,5.130043886057318,3.965416040313378,False
GOOGL,Linear Regression,Tech+Sent,30,1324,30,5.215912321957441,4.10801527812735,48.275862068965516,4.6298520921566215,3.6562594709725214,False
GOOGL,Linear Regression,Tech+Sent,60,1294,60,4.9995018345406965,3.962854372104476,52.54237288135594,4.3145837496207085,3.3973766262248413,False
GOOGL,Linear Regression,Tech+Sent,90,1264,90,5.150435021518079,4.050858609497902,44.9438202247191,5.130043886057318,3.965416040313378,False
GOOGL,Random Forest,Tech-Only,30,1324,30,12.920955840827222,11.634753576490613,55.172413793103445,4.6298520921566215,3.6562594709725214,False
GOOGL,Random Forest,Tech-Only,60,1294,60,11.745132235282208,10.011616645389132,44.06779661016949,4.3145837496207085,3.3973766262248413,False
GOOGL,Random Forest,Tech-Only,90,1264,90,50.26998160455262,47.302573863825735,57.30337078651685,5.130043886057318,3.965416040313378,False
GOOGL,Random Forest,Tech+Sent,30,1324,30,13.343472271692299,12.033155197143552,55.172413793103445,4.6298520921566215,3.6562594709725214,False
GOOGL,Random Forest,Tech+Sent,60,1294,60,12.112742720836836,10.440522341410324,38.983050847457626,4.3145837496207085,3.3973766262248413,False
GOOGL,Random Forest,Tech+Sent,90,1264,90,50.59500581882506,47.622869361029736,56.17977528089888,5.130043886057318,3.965416040313378,False
GOOGL,XGBoost,Tech-Only,30,1324,30,8.074135062868722,7.257224527994792,51.724137931034484,4.6298520921566215,3.6562594709725214,False
GOOGL,XGBoost,Tech-Only,60,1294,60,15.850846480042701,12.839595540364583,47.45762711864407,4.3145837496207085,3.3973766262248413,False
GOOGL,XGBoost,Tech-Only,90,1264,90,54.25640645079462,51.18419426812066,48.31460674157304,5.130043886057318,3.965416040313378,False
GOOGL,XGBoost,Tech+Sent,30,1324,30,8.074135062868722,7.257224527994792,51.724137931034484,4.6298520921566215,3.6562594709725214,False
GOOGL,XGBoost,Tech+Sent,60,1294,60,15.850846480042701,12.839595540364583,47.45762711864407,4.3145837496207085,3.3973766262248413,False
GOOGL,XGBoost,Tech+Sent,90,1264,90,54.25640645079462,51.18419426812066,48.31460674157304,5.130043886057318,3.965416040313378,False
AMZN,Linear Regression,Tech-Only,30,1324,30,4.793886829875055,3.6856250283930954,48.275862068965516,4.4373037440227625,3.3982759673019918,False
AMZN,Linear Regression,Tech-Only,60,1294,60,4.168315410530602,3.172899625410465,52.54237288135594,4.099919723833588,3.1042374433097164,False
AMZN,Linear Regression,Tech-Only,90,1264,90,4.72218696098246,3.4433511876660843,50.56179775280899,4.765371343136429,3.436067388298805,True
AMZN,Linear Regression,Tech+Sent,30,1324,30,4.7938868298750315,3.685625028393077,48.275862068965516,4.4373037440227625,3.3982759673019918,False
AMZN,Linear Regression,Tech+Sent,60,1294,60,4.168315410530596,3.172899625410457,52.54237288135594,4.099919723833588,3.1042374433097164,False
AMZN,Linear Regression,Tech+Sent,90,1264,90,4.722186960982463,3.443351187666082,50.56179775280899,4.765371343136429,3.436067388298805,True
AMZN,Random Forest,Tech-Only,30,1324,30,4.84323298068558,3.604816539424748,55.172413793103445,4.4373037440227625,3.3982759673019918,False
AMZN,Random Forest,Tech-Only,60,1294,60,5.15478057293318,4.132810604744494,49.152542372881356,4.099919723833588,3.1042374433097164,False
AMZN,Random Forest,Tech-Only,90,1264,90,7.0954944498664805,5.351600798564573,50.56179775280899,4.765371343136429,3.436067388298805,False
AMZN,Random Forest,Tech+Sent,30,1324,30,4.895886798784185,3.6673903107196923,55.172413793103445,4.4373037440227625,3.3982759673019918,False
AMZN,Random Forest,Tech+Sent,60,1294,60,4.977043561033085,4.011263489509266,59.32203389830508,4.099919723833588,3.1042374433097164,False
AMZN,Random Forest,Tech+Sent,90,1264,90,7.032299216610808,5.2777851191542124,51.68539325842697,4.765371343136429,3.436067388298805,False
AMZN,XGBoost,Tech-Only,30,1324,30,5.173775671020642,4.077554321289062,55.172413793103445,4.4373037440227625,3.3982759673019918,False
AMZN,XGBoost,Tech-Only,60,1294,60,5.781622899781808,4.599910227457681,61.016949152542374,4.099919723833588,3.1042374433097164,False
AMZN,XGBoost,Tech-Only,90,1264,90,9.427982714717908,7.2205079820421005,47.19101123595505,4.765371343136429,3.436067388298805,False
AMZN,XGBoost,Tech+Sent,30,1324,30,5.173775671020642,4.077554321289062,55.172413793103445,4.4373037440227625,3.3982759673019918,False
AMZN,XGBoost,Tech+Sent,60,1294,60,5.781622899781808,4.599910227457681,61.016949152542374,4.099919723833588,3.1042374433097164,False
AMZN,XGBoost,Tech+Sent,90,1264,90,9.427982714717908,7.2205079820421005,47.19101123595505,4.765371343136429,3.436067388298805,False
SPY,Linear Regression,Tech-Only,30,1324,30,5.346182756302656,4.370020944309124,34.48275862068966,5.250907050274685,4.188621784078664,False
SPY,Linear Regression,Tech-Only,60,1294,60,4.953263268642427,3.906122570404375,45.76271186440678,4.903978614878506,3.8253494521318854,False
SPY,Linear Regression,Tech-Only,90,1264,90,5.111001290441803,3.9474817168510348,47.19101123595505,5.060955904135407,3.947240936622191,False
