stock,model,feature,importance,category
MSFT,XGBoost,BB_Lower,0.0006184436497278512,Technical
MSFT,XGBoost,SMA_20,0.00034104788210242987,Technical
MSFT,XGBoost,BB_Upper,0.0002850739110726863,Technical
MSFT,XGBoost,EMA_20,0.000221028269152157,Technical
MSFT,XGBoost,EMA_50,0.00022083584917709231,Technical
MSFT,XGBoost,Momentum_10,0.00020424275135155767,Technical
MSFT,XGBoost,Returns_1d,0.00017719760944601148,Technical
MSFT,XGBoost,Returns_5d,0.00015092761896084994,Technical
MSFT,XGBoost,RSI,0.0001432564458809793,Technical
MSFT,XGBoost,MACD_Signal,0.00014131008356343955,Technical
MSFT,XGBoost,BB_Width,0.00013983805547468364,Technical
MSFT,XGBoost,MACD,0.0001318165595876053,Technical
MSFT,XGBoost,Volume,0.00011972648644587025,Price
MSFT,XGBoost,positive_score,0.0,Sentiment
MSFT,XGBoost,negative_score,0.0,Sentiment
MSFT,XGBoost,neutral_score,0.0,Sentiment
MSFT,XGBoost,article_count,0.0,Sentiment
