Price,Open,High,Low,Close,Volume
Ticker,META,META,META,META,META
Date,,,,,
2024-03-06,494.7023350451915,500.0109149772021,491.3819886609617,493.17138671875,11757900
2024-03-07,500.31911226510823,516.791604925774,498.4302963735491,509.17669677734375,18586400
2024-03-08,511.1649321102501,520.4897527725559,496.412242084079,502.9734191894531,18597100
2024-03-11,494.0859633671915,494.3941371250027,473.1995612597205,480.7449035644531,20428300
2024-03-12,490.3580671035689,499.3548120932543,481.87825193306827,496.80987548828125,15448200
2024-03-13,492.4755157274268,498.0326247688167,488.1411508830756,492.6544494628906,12090700
2024-03-14,497.3168592141215,498.40044284010156,485.28804037111354,488.9364318847656,12620000
2024-03-15,486.1330702959338,488.93645663935973,478.46840785801584,481.251953125,29153600
2024-03-18,489.01597315025106,494.4935661399137,483.94597166783353,494.05615234375,11755300
2024-03-19,485.2980263600341,493.7082462490932,478.4485468375205,493.3205261230469,10903100
2024-03-20,496.56135656046746,505.2101851162554,492.25684403551685,502.5459289550781,11711100
2024-03-21,511.68189014587995,512.0099050096288,503.0330616786882,504.77276611328125,9712500
2024-03-22,504.0172232261066,506.9697513685857,501.37286886802445,506.58203125,8120600
2024-03-25,502.81433078593295,504.2359104892771,497.2969644965207,500.06060791015625,8380600
2024-03-26,502.158224751726,506.9995687205203,492.2965727329748,492.97259521484375,11205400
2024-03-27,496.3624651462264,496.94902070729796,485.1985538197875,490.9544677734375,9989700
2024-03-28,489.9405029909663,489.9902270320551,482.2957426384375,482.72320556640625,15212800
2024-04-01,484.33368069090426,494.50347537416116,478.94555469115943,488.4592590332031,9247000
2024-04-02,482.2460757075962,494.60294050567774,481.79871100314176,494.4438781738281,11081000
2024-04-03,495.99470843998273,504.25581696566337,495.815774689645,503.7587585449219,12099200
2024-04-04,513.3817659558945,526.8818886970938,507.5761276530795,507.9141540527344,26476300
2024-04-05,513.8191641240741,527.5777665151929,511.38356597372723,524.237548828125,19263300
2024-04-08,526.1660874417956,528.3630463964502,515.8372009291234,516.195068359375,13260600
2024-04-09,519.1576077555757,522.7762075444691,503.7587479141373,513.8590087890625,10863800
2024-04-10,506.2937294481195,519.4856478339971,502.8242413515318,516.771728515625,11418500
2024-04-11,518.0442258786559,520.778047262265,514.2466921664769,520.0821533203125,10369500
2024-04-12,514.703986717133,517.1296341998783,506.3335096925716,508.8883972167969,11984500
2024-04-15,513.6799940142547,515.4794036371065,494.354391700334,497.28704833984375,13512900
2024-04-16,495.1795072199256,501.8003287823735,494.185390414838,496.81982421875,9847900
2024-04-17,500.1401507465026,500.19979532538446,484.2740556651734,491.2626953125,12193700
2024-04-18,496.87941615355777,509.1965366258005,496.10400634126887,498.8477478027344,14808700
2024-04-19,499.8419152749836,499.8419152749836,472.93119653596085,478.2397766113281,25215400
2024-04-22,486.8388571664129,489.11539302390713,470.6148644871972,478.8958740234375,17271100
2024-04-23,488.35986304921715,495.8256896968282,486.0932780281285,493.18133544921875,15079200
2024-04-24,505.0709561798665,506.9995451118446,481.72908384792635,490.59661865234375,37772700
2024-04-25,418.9208293388117,443.1474518194537,412.0614292262953,438.7832946777344,82890700
2024-04-26,438.8628170424118,443.8135298876652,429.41870694726816,440.68206787109375,32691400
